Platform,Product Name,Price,Seller,Delivery Fees,Delivery Date,Product State,Timestamp
E.Leclerc,"Apple iPhone 16 15,5 cm (6.1"") Double SIM iOS 18 5G USB Type-C 512 Go Noir","1299.,00 €",Stock e-commerce,Offerte,Prévue entre le 17/03/25 et le 18/03/25,NEUF,16/03/2025 16:15:33
E.Leclerc,"Apple iPhone 16 15,5 cm (6.1"") Double SIM iOS 18 5G USB Type-C 512 Go Noir","1298.,90 €",Espace-Disque,Offerte,Prévue entre le 18/03/25 et le 19/03/25,NEUF,16/03/2025 16:15:33
E.Leclerc,"Apple iPhone 16 15,5 cm (6.1"") Double SIM iOS 18 5G USB Type-C 512 Go Noir","1395.,00 €",GPASPLUS,Offerte,Prévue le 17/03/25,NEUF,16/03/2025 16:15:33
E.Leclerc,"Apple iPhone 16 15,5 cm (6.1"") Double SIM iOS 18 5G USB Type-C 512 Go Noir","1450.,33 €",Monsieurplus,Offerte,Prévue entre le 18/03/25 et le 19/03/25,NEUF,16/03/2025 16:15:33
E.Leclerc,"Apple iPhone 16 15,5 cm (6.1"") Double SIM iOS 18 5G USB Type-C 512 Go Noir","1479.,99 €",La Boutique du Net,Offerte,Prévue le 17/03/25,NEUF,16/03/2025 16:15:33
E.Leclerc,"Apple iPhone 16 15,5 cm (6.1"") Double SIM iOS 18 5G USB Type-C 512 Go Noir","1588.,01 €",Big Hub,Offerte,Prévue le 22/03/25,NEUF,16/03/2025 16:15:33
E.Leclerc,"Apple iPhone 16 15,5 cm (6.1"") Double SIM iOS 18 5G USB Type-C 512 Go Noir","1713.,31 €",ZOOMICI,Offerte,Prévue le 27/03/25,NEUF,16/03/2025 16:15:33
----------------------------------------------------------------------------------------------------------
E.Leclerc,"Apple iPhone 16 Pro Max 17,5 cm (6.9"") Double SIM iOS 18 5G USB Type-C 256 Go Titane","1381.,00 €",Techstarkshop,Offerte,Prévue entre le 17/03/25 et le 18/03/25,NEUF,16/03/2025 16:16:00
E.Leclerc,"Apple iPhone 16 Pro Max 17,5 cm (6.9"") Double SIM iOS 18 5G USB Type-C 256 Go Titane","1239.,98 €",TELBLUE LDA,Offerte,Prévue entre le 18/03/25 et le 19/03/25,NEUF,16/03/2025 16:16:00
E.Leclerc,"Apple iPhone 16 Pro Max 17,5 cm (6.9"") Double SIM iOS 18 5G USB Type-C 256 Go Titane","1279.,00 €",CHIP9,Offerte,Prévue le 17/03/25,NEUF,16/03/2025 16:16:00
E.Leclerc,"Apple iPhone 16 Pro Max 17,5 cm (6.9"") Double SIM iOS 18 5G USB Type-C 256 Go Titane","1348.,24 €",Stock e-commerce,Offerte,Prévue entre le 18/03/25 et le 19/03/25,NEUF,16/03/2025 16:16:00
